Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2022,0.26018026,1357.9878,,40578801,Asia,2022,2023,2022,2022
Albania,ALB,2022,1.8296225,12978.101,,2827562,Europe,2022,2023,2022,2022
Algeria,DZA,2022,4.058243,13506.444,,45477339,Africa,2022,2023,2022,2022
Angola,AGO,2022,0.5682681,6118.905,,35634984,Africa,2022,2023,2022,2022
Argentina,ARG,2022,4.4943905,18292.318,,45407866,South America,2022,2023,2022,2022
Armenia,ARM,2022,2.4869792,13837.577,,2880829,Asia,2022,2023,2022,2022
Australia,AUS,2022,14.66979,52049.43,,26200929,Oceania,2022,2023,2022,2022
Austria,AUT,2022,6.783409,43792.855,,9064633,Europe,2022,2023,2022,2022
Azerbaijan,AZE,2022,3.9233098,17682.94,,10295256,Asia,2022,2023,2022,2022
Bahrain,BHR,2022,23.25017,38651.6,,1533408,Asia,2022,2023,2022,2022
Bangladesh,BGD,2022,0.67221427,4925.721,,169384838,Asia,2022,2023,2022,2022
Barbados,BRB,2022,4.0504413,11545.848,,282268,North America,2022,2023,2022,2022
Belarus,BLR,2022,6.4736867,18699.799,,9173190,Europe,2022,2023,2022,2022
Belgium,BEL,2022,7.6450696,41872.395,,11641759,Europe,2022,2023,2022,2022
Benin,BEN,2022,0.420974,2477.0903,,13759458,Africa,2022,2023,2022,2022
Bolivia,BOL,2022,1.852948,6481.3906,,12077101,South America,2022,2023,2022,2022
Bosnia and Herzegovina,BIH,2022,6.541299,12142.863,,3204770,Europe,2022,2023,2022,2022
Botswana,BWA,2022,2.7032576,16351.91,,2439843,Africa,2022,2023,2022,2022
Brazil,BRA,2022,2.3006465,14640.076,,210306358,South America,2022,2023,2022,2022
Bulgaria,BGR,2022,6.8806005,20592.455,,6825817,Europe,2022,2023,2022,2022
Burkina Faso,BFA,2022,0.28317067,1704.966,,22508995,Africa,2022,2023,2022,2022
Burundi,BDI,2022,0.053095266,717.22845,,13321056,Africa,2022,2023,2022,2022
Cambodia,KHM,2022,1.1399238,3944.2468,,17201662,Asia,2022,2023,2022,2022
Cameroon,CMR,2022,0.36354846,2812.2148,,27632723,Africa,2022,2023,2022,2022
Canada,CAN,2022,14.183269,45529.645,,38821209,North America,2022,2023,2022,2022
Cape Verde,CPV,2022,1.067888,7202.767,,519694,Africa,2022,2023,2022,2022
